cluster_id,is_centroid,path
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/Stop Letting Everything Affect You.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/Super Fantasy Kingdom.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Anxious Generation.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Checklist Manifesto.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Compound Effect.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Courage to be Disliked.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Life-Changing Magic of Tidying Up.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Magic of Thinking Big.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Myth of Sisyphus.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Pathless Path.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Power of Now.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Snowball.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Software Engineer's Guidebook.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Sopranos.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Staff Engineers Path.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The War of Art.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Way of the Superior Man.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The office.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/Tomo-Chan is a Girl.md
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/Violet Evergarden.md
2,False,"/home/pedro/notes/300_MEDIA/MEDIA_NOTES/Warhammer 40,000 Space Marine 2.md"
2,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/Watership Down.md
2,False,/home/pedro/notes/400_JOURNAL/440_MISC/Memory-Father.md
2,False,/home/pedro/notes/400_JOURNAL/490_Journals/2026.v1.md
3,True,/home/pedro/notes/200_NOTES/The cost of a dollar.md
3,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/A Random Walk Down Wall Street.md
4,True,/home/pedro/notes/400_JOURNAL/410_DAILY_NOTES/2025/2025-12-03.md
4,False,/home/pedro/notes/400_JOURNAL/410_DAILY_NOTES/2025/2025-12-01.md
4,False,/home/pedro/notes/400_JOURNAL/410_DAILY_NOTES/2025/2025-12-06.md
4,False,/home/pedro/notes/400_JOURNAL/410_DAILY_NOTES/2025/2025-12-15.md
5,True,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/Getting Things Done.md
5,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/Deep Work.md
6,True,/home/pedro/notes/400_JOURNAL/450_THERAPY/2026-03.02.md
6,False,/home/pedro/notes/400_JOURNAL/450_THERAPY/2026-03.01.md
7,True,/home/pedro/notes/400_JOURNAL/410_DAILY_NOTES/2026-01-02.md
7,False,/home/pedro/notes/400_JOURNAL/440_MISC/Natal e a saudade do chewie.md
8,True,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/House MD.md
8,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/My Love Story!!.md
9,True,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2025/2025-W49.md
9,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2025/2025-W44.md
10,True,/home/pedro/notes/400_JOURNAL/410_DAILY_NOTES/2025/2025-11-16.md
10,False,/home/pedro/notes/400_JOURNAL/410_DAILY_NOTES/2025/2025-11-06.md
10,False,/home/pedro/notes/400_JOURNAL/410_DAILY_NOTES/2025/2025-11-09.md
11,True,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2025/2025-W46.md
12,True,/home/pedro/notes/400_JOURNAL/440_MISC/Goals.md
13,True,/home/pedro/notes/300_MEDIA/CONTENT REVIEWS.md
13,False,/home/pedro/notes/300_MEDIA/BACKLOGS/Television Backlog.md
14,True,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/Mewgenics.md
14,False,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/Xcom 2.md
15,True,/home/pedro/notes/300_MEDIA/CONTENT_TRACKERS/AniManga Tracker.md
15,False,/home/pedro/notes/300_MEDIA/CONTENT_TRACKERS/ALL Tracker.md
15,False,/home/pedro/notes/300_MEDIA/CONTENT_TRACKERS/Books Tracker.md
15,False,/home/pedro/notes/300_MEDIA/CONTENT_TRACKERS/Games Tracker.md
15,False,/home/pedro/notes/300_MEDIA/CONTENT_TRACKERS/Television Tracker.md
16,True,/home/pedro/notes/300_MEDIA/CONTENT_CONSUMING/Television Consuming.md
16,False,/home/pedro/notes/300_MEDIA/CONTENT_CONSUMING/ALL Consuming.md
16,False,/home/pedro/notes/300_MEDIA/CONTENT_CONSUMING/AniManga Consuming.md
16,False,/home/pedro/notes/300_MEDIA/CONTENT_CONSUMING/Books Consuming.md
16,False,/home/pedro/notes/300_MEDIA/CONTENT_CONSUMING/Games Consuming.md
17,True,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Pleasures of Reading in an Age of Distraction.md
18,True,/home/pedro/notes/400_JOURNAL/Monthly Grades.md
19,True,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Psychology of Money.md
19,False,/home/pedro/notes/200_NOTES/Beat The Market.md
20,True,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Unfair Advantage.md
21,True,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W12.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2025/2025-W43.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2025/2025-W45.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2025/2025-W47.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2025/2025-W48.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2025/2025-W50.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2025/2025-W51.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2025/2025-W52.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W01.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W02.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W03.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W04.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W05.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W06.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W07.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W08.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W09.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W10.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W11.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W13.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W14.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W15.md
21,False,/home/pedro/notes/400_JOURNAL/420_WEEKLY_REVIEWS/2026-W16.md
22,True,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/SPY X FAMILY.md
23,True,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The Bullet Journal Method.md
24,True,/home/pedro/notes/400_JOURNAL/410_DAILY_NOTES/2025/2025-11-04.md
25,True,/home/pedro/notes/400_JOURNAL/410_DAILY_NOTES/2025/2025-11-03.md
26,True,/home/pedro/notes/300_MEDIA/BACKLOGS/AniManga Backlog.md
27,True,/home/pedro/notes/400_JOURNAL/410_DAILY_NOTES/2025/2025-12-25.md
28,True,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/VA-11 Hall-A.md
29,True,/home/pedro/notes/CLAUDE.md
30,True,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/The 12 Week Year.md
31,True,/home/pedro/notes/300_MEDIA/MEDIA_NOTES/Mindset - The New Psychology of Success.md
32,True,/home/pedro/notes/200_NOTES/Terraform Apply.md
33,True,/home/pedro/notes/200_NOTES/Salary Tracker.md
